experimentId;device_id;motion_tag;userPhoneLocation;timestamp;wifiRssi;wifiName;wifiOther;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498640000;-69.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498641000;-71.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498642000;-76.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498643000;-78.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498644000;-79.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498645000;-78.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498646000;-76.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498647000;-78.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498648000;-80.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498649000;-81.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498650000;-78.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498651000;-77.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498652000;-77.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498653000;-80.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498654000;-82.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498655000;-85.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498656000;-91.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498657000;-93.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498658000;-97.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498659000;-96.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498660000;-96.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498661000;-96.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498662000;-95.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498663000;-95.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498664000;-95.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498665000;-96.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498666000;-96.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498667000;-96.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498668000;-96.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498669000;-97.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498670000;-97.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498671000;-97.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498672000;-97.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498673000;-97.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Winda/schody ruchome;W rece;1616498674000;-97.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498675000;-97.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498676000;-87.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498677000;-87.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498678000;-88.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
windaJazdaPoPietrachPostoje;SM-G935F;Stoi;W rece;1616498679000;-85.00000000;"IITiS PAN";04:bd:88:6f:e6:c3, -360;
